date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:32:22	17867/17867	---MCZ	200	added ('OK')	text/html	etag:W/%2245cb-ZXSKCvgzCpJxlelw/wMsLZfXwj4%22	https://www.wix.com/website-template/view/html/3056?originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fonline-store%2F4&tpClick=view_button&esi=2c8a4137-292c-46cc-b8f1-fc85a8e3c9b9	C:/Users/CHEW%20YUIN%20YEE/Downloads/automotive_solutions/wix_auto/www.wix.com/website-template/view/html/3056fc40.html	(from )
15:32:25	764/764	---MCZ	200	added ('OK')	text/plain	etag:W/%2297b-ic2BKNKs0JeQ9l8L43d+Jo/2kPk%22	https://www.wix.com/robots.txt		(from )
15:32:25	64631/64631	---M-Z	200	added ('OK')	application/javascript	etag:W/%221027b50f33799510b3896c8df2ca4730%22	https://static.parastorage.com/unpkg/@sentry/browser@5.27.4/build/bundle.min.js	C:/Users/CHEW%20YUIN%20YEE/Downloads/automotive_solutions/wix_auto/static.parastorage.com/unpkg/@sentry/browser@5.27.4/build/bundle.min.js	(from https://www.wix.com/website-template/view/html/3056?originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fonline-store%2F4&tpClick=view_button&esi=2c8a4137-292c-46cc-b8f1-fc85a8e3c9b9)
15:32:27	78359/78359	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e1e531792b8b3a8d94f59e0d2d509466%22	http://static.parastorage.com/unpkg/@wix/fedops-logger@5.508.0/dist/statics/fedops-logger.bundle.min.js	C:/Users/CHEW%20YUIN%20YEE/Downloads/automotive_solutions/wix_auto/static.parastorage.com/unpkg/@wix/fedops-logger@5.508.0/dist/statics/fedops-logger.bundle.min.js	(from https://www.wix.com/website-template/view/html/3056?originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fonline-store%2F4&tpClick=view_button&esi=2c8a4137-292c-46cc-b8f1-fc85a8e3c9b9)
15:32:27	143481/143481	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2013%20Dec%202024%2007:32:32%20GMT	https://static.parastorage.com/polyfill/v3/polyfill.min.js?features=default,es6,es7,es2017,es2018,es2019,fetch&flags=gated&unknown=polyfill	C:/Users/CHEW%20YUIN%20YEE/Downloads/automotive_solutions/wix_auto/static.parastorage.com/polyfill/v3/polyfill.minb292.js	(from https://www.wix.com/website-template/view/html/3056?originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fonline-store%2F4&tpClick=view_button&esi=2c8a4137-292c-46cc-b8f1-fc85a8e3c9b9)
15:32:28	13849/13849	---M-Z	200	added ('OK')	text/css	etag:W/%22338855569759ca44a0734ec4435bcbd0%22	https://static.parastorage.com/services/third-party/fonts/Helvetica/fontFace.css	C:/Users/CHEW%20YUIN%20YEE/Downloads/automotive_solutions/wix_auto/static.parastorage.com/services/third-party/fonts/Helvetica/fontFace.css	(from https://www.wix.com/website-template/view/html/3056?originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fonline-store%2F4&tpClick=view_button&esi=2c8a4137-292c-46cc-b8f1-fc85a8e3c9b9)
15:32:28	2296/2296	---M-Z	200	added ('OK')	text/css	etag:W/%222cf608208ad865c9ed4a01da91ad9484%22	https://static.parastorage.com/unpkg/@wix/wix-fonts@1.14.0/madefor.min.css	C:/Users/CHEW%20YUIN%20YEE/Downloads/automotive_solutions/wix_auto/static.parastorage.com/unpkg/@wix/wix-fonts@1.14.0/madefor.min.css	(from https://www.wix.com/website-template/view/html/3056?originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fonline-store%2F4&tpClick=view_button&esi=2c8a4137-292c-46cc-b8f1-fc85a8e3c9b9)
15:32:28	1331/1331	---M-Z	200	added ('OK')	text/css	etag:W/%228825c8db380eff2e8d0c67224d374cf9%22	https://static.parastorage.com/unpkg/@wix/wix-fonts@1.14.0/madeforDisplay.min.css	C:/Users/CHEW%20YUIN%20YEE/Downloads/automotive_solutions/wix_auto/static.parastorage.com/unpkg/@wix/wix-fonts@1.14.0/madeforDisplay.min.css	(from https://www.wix.com/website-template/view/html/3056?originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fonline-store%2F4&tpClick=view_button&esi=2c8a4137-292c-46cc-b8f1-fc85a8e3c9b9)
15:32:29	869239/869239	---M-Z	200	added ('OK')	text/css	etag:W/%2247102ebb193604d6c18c3d4cfcdde8d7%22	http://static.parastorage.com/services/marketing-template-viewer/1.2242.0/app.min.css	C:/Users/CHEW%20YUIN%20YEE/Downloads/automotive_solutions/wix_auto/static.parastorage.com/services/marketing-template-viewer/1.2242.0/app.min.css	(from https://www.wix.com/website-template/view/html/3056?originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fonline-store%2F4&tpClick=view_button&esi=2c8a4137-292c-46cc-b8f1-fc85a8e3c9b9)
15:32:31	17998/17998	---MCZ	200	added ('OK')	text/html	etag:W/%22464e-ymNuU/AxPO1DOzUYTK3G7ZVdMg8%22	https://www.wix.com/website-template/view/html/3056	C:/Users/CHEW%20YUIN%20YEE/Downloads/automotive_solutions/wix_auto/www.wix.com/website-template/view/html/3056.html	(from https://www.wix.com/website-template/view/html/3056?originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fonline-store%2F4&tpClick=view_button&esi=2c8a4137-292c-46cc-b8f1-fc85a8e3c9b9)
